,run,ROC,AP
0,0.0,0.909148653544258,0.9181033378417948
1,1.0,0.8826156261321096,0.8961966146665146
2,2.0,0.8961260717304673,0.9055994558727758
3,3.0,0.9012848689771766,0.9184959320372073
4,4.0,0.8971017992996015,0.9130378538268764
5,5.0,0.8898321458761019,0.903409421290978
6,6.0,0.8860838063035865,0.8941077601263951
7,7.0,0.9048255041661636,0.9170697843191163
8,8.0,0.9038835889385339,0.9156448607692196
9,9.0,0.9020818741697862,0.9089725728959019
10,mean,0.8972983939137785,0.9090637593646779
11,std,0.008232454044008434,0.008527058091965625
